Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
47,5,3,101,2,Some Random Commen with Id 47
48,6,3,0,9,Some Random Commen with Id 48
49,6,3,104,2,Some Random Commen with Id 49
50,6,3,143,2,Some Random Commen with Id 50
51,6,3,4,3,Some Random Commen with Id 51
52,6,3,118,2,Some Random Commen with Id 52
53,6,3,76,4,Some Random Commen with Id 53
54,7,8,126,6,Some Random Commen with Id 54
55,7,8,143,5,Some Random Commen with Id 55
56,7,8,107,8,Some Random Commen with Id 56
57,7,8,136,3,Some Random Commen with Id 57
58,7,8,1,1,Some Random Commen with Id 58
59,7,8,50,7,Some Random Commen with Id 59
60,7,8,117,3,Some Random Commen with Id 60
61,7,8,26,8,Some Random Commen with Id 61
62,7,8,189,6,Some Random Commen with Id 62
63,8,9,172,2,Some Random Commen with Id 63
64,8,9,199,2,Some Random Commen with Id 64
65,9,8,108,4,Some Random Commen with Id 65
66,10,3,31,0,Some Random Commen with Id 66
67,10,3,25,3,Some Random Commen with Id 67
68,10,3,129,0,Some Random Commen with Id 68
69,10,3,65,7,Some Random Commen with Id 69
70,11,0,100,0,Some Random Commen with Id 70
71,11,0,185,9,Some Random Commen with Id 71
72,12,7,73,1,Some Random Commen with Id 72
73,12,7,161,8,Some Random Commen with Id 73
74,12,7,37,1,Some Random Commen with Id 74
75,12,7,101,9,Some Random Commen with Id 75
76,12,7,25,0,Some Random Commen with Id 76
77,12,7,27,1,Some Random Commen with Id 77
78,12,7,29,8,Some Random Commen with Id 78
79,12,7,88,0,Some Random Commen with Id 79
80,12,7,108,6,Some Random Commen with Id 80
81,13,6,38,8,Some Random Commen with Id 81
82,13,6,31,4,Some Random Commen with Id 82
83,14,2,171,2,Some Random Commen with Id 83
84,14,2,69,8,Some Random Commen with Id 84
85,14,2,193,1,Some Random Commen with Id 85
86,14,2,37,3,Some Random Commen with Id 86
87,14,2,49,2,Some Random Commen with Id 87
88,15,0,32,8,Some Random Commen with Id 88
89,16,2,141,1,Some Random Commen with Id 89
90,16,2,78,9,Some Random Commen with Id 90
91,16,2,0,2,Some Random Commen with Id 91
92,16,2,32,5,Some Random Commen with Id 92
93,16,2,162,0,Some Random Commen with Id 93
94,16,2,108,5,Some Random Commen with Id 94
95,16,2,168,9,Some Random Commen with Id 95
96,17,3,1,7,Some Random Commen with Id 96
97,17,3,155,4,Some Random Commen with Id 97
98,17,3,143,7,Some Random Commen with Id 98
99,17,3,26,3,Some Random Commen with Id 99
100,17,3,106,7,Some Random Commen with Id 100
101,17,3,89,1,Some Random Commen with Id 101
102,17,3,71,9,Some Random Commen with Id 102
103,17,3,150,5,Some Random Commen with Id 103
104,17,3,112,2,Some Random Commen with Id 104
105,18,1,102,1,Some Random Commen with Id 105
106,18,1,96,1,Some Random Commen with Id 106
107,19,9,62,0,Some Random Commen with Id 107
108,19,9,184,1,Some Random Commen with Id 108
109,19,9,70,4,Some Random Commen with Id 109
110,20,9,93,9,Some Random Commen with Id 110
111,20,9,133,9,Some Random Commen with Id 111
112,20,9,61,1,Some Random Commen with Id 112
113,20,9,136,9,Some Random Commen with Id 113
114,21,4,137,2,Some Random Commen with Id 114
115,21,4,184,9,Some Random Commen with Id 115
116,21,4,10,8,Some Random Commen with Id 116
117,21,4,3,9,Some Random Commen with Id 117
118,21,4,22,8,Some Random Commen with Id 118
119,21,4,23,3,Some Random Commen with Id 119
120,21,4,95,1,Some Random Commen with Id 120
121,22,7,35,0,Some Random Commen with Id 121
122,22,7,56,7,Some Random Commen with Id 122
123,22,7,77,3,Some Random Commen with Id 123
124,22,7,136,6,Some Random Commen with Id 124
125,23,4,26,0,Some Random Commen with Id 125
126,23,4,78,5,Some Random Commen with Id 126
127,23,4,14,6,Some Random Commen with Id 127
128,24,1,196,0,Some Random Commen with Id 128
129,24,1,117,7,Some Random Commen with Id 129
130,24,1,129,5,Some Random Commen with Id 130
131,24,1,76,3,Some Random Commen with Id 131
132,25,0,15,0,Some Random Commen with Id 132
133,26,9,189,6,Some Random Commen with Id 133
134,26,9,112,6,Some Random Commen with Id 134
135,26,9,75,6,Some Random Commen with Id 135
136,27,3,107,5,Some Random Commen with Id 136
137,27,3,36,1,Some Random Commen with Id 137
138,27,3,122,9,Some Random Commen with Id 138
139,27,3,19,3,Some Random Commen with Id 139
140,27,3,95,3,Some Random Commen with Id 140
141,27,3,87,8,Some Random Commen with Id 141
142,27,3,23,4,Some Random Commen with Id 142
143,27,3,109,7,Some Random Commen with Id 143
144,28,5,92,3,Some Random Commen with Id 144
145,28,5,70,5,Some Random Commen with Id 145
146,28,5,67,2,Some Random Commen with Id 146
147,28,5,51,9,Some Random Commen with Id 147
148,28,5,80,4,Some Random Commen with Id 148
149,29,9,186,5,Some Random Commen with Id 149
150,29,9,154,1,Some Random Commen with Id 150
151,30,6,22,1,Some Random Commen with Id 151
152,30,6,50,4,Some Random Commen with Id 152
153,30,6,44,1,Some Random Commen with Id 153
154,30,6,141,7,Some Random Commen with Id 154
155,30,6,1,9,Some Random Commen with Id 155
156,30,6,85,6,Some Random Commen with Id 156
157,30,6,36,7,Some Random Commen with Id 157
158,30,6,194,1,Some Random Commen with Id 158
159,31,2,141,7,Some Random Commen with Id 159
160,31,2,48,6,Some Random Commen with Id 160
161,31,2,172,7,Some Random Commen with Id 161
162,31,2,122,2,Some Random Commen with Id 162
163,31,2,65,7,Some Random Commen with Id 163
164,31,2,26,2,Some Random Commen with Id 164
165,31,2,129,7,Some Random Commen with Id 165
166,31,2,55,1,Some Random Commen with Id 166
167,31,2,120,3,Some Random Commen with Id 167
168,32,4,41,8,Some Random Commen with Id 168
169,32,4,162,0,Some Random Commen with Id 169
170,33,1,29,9,Some Random Commen with Id 170
171,34,8,89,3,Some Random Commen with Id 171
172,35,7,177,2,Some Random Commen with Id 172
173,35,7,65,2,Some Random Commen with Id 173
174,35,7,43,5,Some Random Commen with Id 174
175,35,7,112,2,Some Random Commen with Id 175
176,35,7,102,4,Some Random Commen with Id 176
177,35,7,140,3,Some Random Commen with Id 177
178,35,7,24,3,Some Random Commen with Id 178
179,36,3,190,3,Some Random Commen with Id 179
180,36,3,176,9,Some Random Commen with Id 180
181,37,5,77,3,Some Random Commen with Id 181
182,37,5,29,8,Some Random Commen with Id 182
183,37,5,129,8,Some Random Commen with Id 183
184,38,9,165,4,Some Random Commen with Id 184
185,38,9,105,8,Some Random Commen with Id 185
186,38,9,179,8,Some Random Commen with Id 186
187,38,9,48,1,Some Random Commen with Id 187
188,38,9,29,7,Some Random Commen with Id 188
189,39,0,20,3,Some Random Commen with Id 189
190,39,0,55,2,Some Random Commen with Id 190
191,39,0,133,3,Some Random Commen with Id 191
192,39,0,130,3,Some Random Commen with Id 192
193,39,0,141,4,Some Random Commen with Id 193
194,39,0,149,9,Some Random Commen with Id 194
195,39,0,77,7,Some Random Commen with Id 195
196,39,0,166,3,Some Random Commen with Id 196
197,39,0,17,4,Some Random Commen with Id 197
